,문장,혐오 여부
17962,@익명8b5e13 ㅋㅋㅋ,0
17963,전두환 만세!,1
17964,"나 이거 유투브로 본건데 신기하네 ㅋㅋ 암튼 예전이나 지금이나 중국은 우리의 분열을 위해 노력한다임

근데 뭐 역사적으로 중국이 분열되었을때 우리도 번성햇으니 개인적으로 짱개생퀴들 분열되길 바람",2
17965,텐센트가 라이엇 인수했지 썅,1
17966,시발 전라도는 외국산이라 표기해라,0
17967,송장새끼들 안뒤지고 잘돌아다니느거보니 이번 폐렴도 별거아니고 또 민주동 압승하겠네 씨발,1
17968,"@우리이니는으니편 배우 중딩때 교과서에 나왔전 육체미소동 아역배우 주인공
나도 그거밖에 모름",1
17969,조진웅 멋있다,0
17970,한방 저씨발것들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
17971,@출산용가축도매상 난 184.6에 78나가는 맛있는 자지인데???ㅋㅋㅋ,3
17972,"김대중 문재앙 같은 보빨등신새끼들 때문에 안됨



여성이 양질의 직장을 차지하게 되면 결혼률이 떨어지고 출산율감소-> 인구감소->내수소비감소->기업경영악화->대한민국은 망하게 된다. 김치녀들 마인드는 남자는 자기보다 돈도 많이 벌어야 하고 집도 해와야 하는데 여성 특혜로 남성 양질의 일자리가 없어지면 이런 결과가 나타난다...당장 여혐원인 여성부 폐지하고 여성할당제같은 채용ᆞ승진 특혜정책 폐기해야 대한민국이 산다. 그리고 군인 경찰 체력 검증 기준도 남녀 같이 하고 기준 미달은 탈락시켜라. 도둑이 여자경찰이라고 천천히 도망가는거 아니다-꼴페미 문제인 탄핵이 답이다",3
17973,"@이게다노무현탓 고구려가 뭔지도 몰라서

고구려 전성기 때 왕이 죽으니까 중국황제가 와서 조문하고 갔냐?",2
17974,조선족 인구 170만임,1
17975,@바이올렛남편 airbnb,3
17976,애미뒤진년,0
17977,"아니 아무리 여편네 치맛바람이 강하다 쳐도
이 정도 까지야 ?

그래서 몇개월 쩌리는 공천주고 박통의 유영하 변호사는 만장일치 공천배제


햐 ㄹㅇ 조센 조센으 개미개 정신력은 타에 추종을 불허하는듯",1
17978,@로리보지철판볶음 아님 말규..헤헤,3
17979,삼돌빔 ㅇㅂ,0
17980,"김정일도 말년에 그랬었고 김정은도 미군이 북한에 일정병력 주둔하길 은근 바랄듯
미국보다도 중국을 더 위험하고 큰 적으로 봄
미군이 주둔해야 해외투자든 뭐든 안심하고 들어올테고 중국의 암살 위협에서도 벗어나고
장성택 안죽였으면 중국이 김정은 제거했을듯
북한 아닥시킨다는 구실로 이것저것 속속 들어오고 있음ㅋ
정은이는 통일 생각은 전혀없고 걍 계속 이상태에서 경제지원만 존내 받고 싶을듯
핵 완전 폐기해도 아자피 몇달이면 다시 만들 수 있으니
짱개들은 요즘 진짜 김정은 떄려죽이고 싶을듯..",2
17981,밤전 아달없어진게 크지 에휴,0
17982,이수역 사건도 청원 60마누넘었지 애미뒤진 김치년들때문에,1
17983,유부게이들 니들 지금 마누라 ㅈㄴㅈㄴㅈㄴㅈㄴㅈㄴㅈㄴ사랑해서 결혼한거 아님?? 근데도 후회함??,3
17984,"@저능한보수우파 ""전세계가 초호황인데 문재앙이 한국만 망하게 한다는 보수우파의 논리??????""

개병신 달창좌좀씹종자새꺄

그냥 한번도 경험하지 못한 나라 꼬라지에 소주성,복합적인 계산없이 포퓰리즘식 최저임금인상 등등등 으로 국민경제를 개폭망시키고 나라곳간 거덜내고 국채처늘리는 좆밥정권 욕하는거지
뭔 보수우파가 세계경제하고 비교를 해 개씹좌좀새꺄",1
17985,암만 그래도 한녀보지는 안사요 안사,3
17986,"두번째였으면 시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

머구랑 전라도 차이봐라

딸래미 뒤졌다고 시발 대통령 나오라고 개지랄 떨면서 광화문에 돈달라고 ㅈㄹ 하는새끼 누구있냐?",0
17987,꼬추도 못드는데 고개 마저 못들게 한다는건 너무했다,1
17988,중국몽,2
17989,@송곳니아빠 함 와주세욧!!,3
17990,여초사이트 보면 여자가 왜 열등한지 더 잘 이해되더라,3
17991,God bless AMERICA,0
17992,유방카 ㅇㅂ,3
17993,여론조사를 연봉 2천5백이하 전세이하 거주자기준으로 했나보지,3
17994,정숙이 옷 얼마짜리냐 500은 넘을것같네,1
17995,@재앙이와시체들 전라도가 신천지 제일크다더라,0
17996,@라끼까 고맙다,0
17997,뭔가 그럴듯 하노 ㅋㅋㅋ,1
17998,아들아 저런 애미를 둔 여자는 좆집이다. 결혼하지 말아라,3
17999,"차이나는 클라스 이거 중국자본 들어간 프로그램이라드만

제목도 두가지 의미를 포함

차이가 나는 클라스
차이나(중국)는 클라스 있는 나라

이렇게 두가지 의미의 좆같은 제목",2
18000,"솔직히 다른건 다 괜찮은데 골반 없으면 안 됨

냄새나는 것도 싫긴한데 그건 뭐 같이 산부인과 가서 약먹고 고치면 되는거니까 상관없지

근 아무리 예뻐도 무골반이면 아무리 해봤자 친구까지지 절대 여자로 안 보이더라",3
18001,집에있으면되지 왜나가냐,0
18002,"@중국노예문폐렴 애미들이 사리분별도 못하는데 자식들도 마찬가지겠네
그짝동네는 답이없다",2
18003,"아,내가 1600 베다",3
18004,문세산이라소 괜찮아. 이미 적화된건대,2
18005,"저새끼들 지지율 떨어지면

일본까고 북한 김정은 언급하고 뭐 그딴거밖에 없지",2
18006,@에스카별로네 안경 새로 맞춰라,1
18007,유쾌하노,0
18008,"웬만하면 남자가 뒤집어쓰고
마누라는 살려두는데
조국 멘탈은 대단해 ㅋ",3
18009,"@일베저장속 전라도 혈통일 확률 518프로다
물귀신 작전 + 이기적인 통수 = 빼박 전라도 ㅅㄱ",0
18010,@익명93ed65 친중파는 ?,2
18011,하라보지 따라가노 ㅋㅋㅋ,3
18012,"응~ 미국 회사 '인앤아웃' 버거 한국에서 완판이야~

폭탄 받으렴~ ^^",2
18013,중국앞마당에서 손을 땐다고? 말도 안되지,2
18014,평소에 남편 좀 패고 사나보다 각 나오네 칠푼이년,3
18015,"북한한테 지령받았네 이미.



청사진 그렸어.",2
18016,@메르 문밥,2
18017,https://m.ilbe.com/view/11225984134?search=%EA%B2%80%EC%82%AC%20%ED%8C%90%EC%82%AC&searchType=title_content&listStyle=list,0
18018,시발 든든함 ㅆㅅㅌㅊ,0
18019,"내가 요즘 밀었던 댓글이 저거임
걸려도 지들은 안죽는다고 생각하는데
지들 주변에 있는 늙은것들을 죽일수도 있는거고

아님 자영업이나 영업하는 사람들은 그냥 지들 밥줄 끊기는거다
우한폐렴사태 끝나고 나서도 그런사람들은 낙인이 찍히는거고",1
18020,"@법게이랑께 당연히 미국산 소고기지.... 2008년 미국산소고기 수입

잠복기 9년 광우병 발병-> 촛불시위, 문재앙당선",2
18021,@여자를멀리하자 이게 다 스시녀마누라 덕분임,3
18022,관상이 진성 좌파임,1
18023,조선족이라서 안통함,1
18024,날뽕에 일인자,0
18025,지오 가슴에 파묻히고싶다,3
18026,씹소름인게 한달전쯤 중국 학생들 대구로 대규모 수학여행옴 기사 찾아보면 나온다,2
18027,백은종 오히려 좋아할듯,1
18028,바이오하자드 ㅇㅂ,0
18029,3번째 짤 진짠데,0
18030,증신 채리라 이기지 ㅋㅋ,0
18031,난자로 읽었다,3
18032,레전드 떡밥이었지.. 저때 당시 눈팅만 했는데 시간 빠르노,1
18033,노인증 ㅁㅈㅎ 씨발 어쩌라는거야?,1
18034,내가 3000배찍었다,0
18035,차우람 도둑놈이라 ㅁㅈㅎ,3
18036,남자면 저정도는 살아야지 엄,3
18037,이 편의점 사장님 매우 정중하노,1
18038,저 입술 씨발진짜,3
18039,좌표어딧누?,1
18040,대단한놈 자랑스럽다 일베충 ㅋ,0
18041,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미친놈인가 진짜 ㅋㅋㅋㅋㅋ,0
18042,여윽시 쌍방향 정보교환이 이루어지는 시대라 애들이 애들같지않게 말들 잘해,1
18043,와꾸 괜찮은데?,0
18044,이거 데스노트 L이 키라는 도쿄에 있습니다 급인데 ㄷㄷ,3
18045,고우시노,0
18046,@아청법감시자 개인이니?,1
18047,저기 어디 편의점이냐 방문해서 콜라라도 사야겠다,1
18048,@익명6b851e 손흥민의 손 병신안 박지성든 박이고,3
18049,"근데 솔직히 저 아재도 군생활을 몇십년을 했는데 북한이 개씹새끼, 우리의 주적이라는건 잘 알지만, 청와대 무서워서 저러는거 아닐까?",2
18050,"반일한다고 일본맥주는 안먹고
칭따오 처먹는 새끼들 돌로 머가리를 깨버려야됨",1
18051,제로페이 가 뭐 어떻게 된건데?,1
18052,@G스팟수석연구원 그건 좀~~,1
18053,조선족은 즈그나라 안에서의 분류명이고 우리에겐 걍 짱깨지,2
18054,트로이의 목마ㅋㅋㅋㅋㅋ,0
18055,"@정신이이상한놈 욕은 니가 먼저 했다. 역시 죠센진 위안부 사생아라서 귀가 먹었나?
더구나 재산 학력에 따라 차별까지. ㅉㅉ. 구제불능의 민족이야.",1
18056,초6 여자가 남자 몸또사진 유포를 빌미로 협박해서 성인남자를 성관계를 댓가로 돈을 달라고하면 미성년자 의제강간 vs 협박에 의한 강간 및 불법 촬영물 유포 협박죄,3
18057,"아니 그럼 네이버가 정부랑 싸우는 거란 말이냐 아님
정부가 이슈를 덮을려고 yg랑 네이버를 이용하는거란 말이냐 ???
답이 안나옴 어차피 네이버 이번 정부 중국은 한패 아니냐
머리가 나빠서 띠옹",2
18058,"광각 죽인다.
5평짜리 방이 20평으로 보이는 마술의 렌즈 ㅋㅋㅋ",3
18059,"술,여자.담배 이런거는 구지깊게 빠져들필요 없지 ㅋㅋㅋ
진짜 손흥민은 아버지 말만 잘들으면 죽을때 까지 인생잘풀릴꺼 같다",3
18060,일름보는 ㅇㅂ지,0
18061,@빠떼루 섹스하자,3
18062,강간범새끼라 우병우딸도 강간하려한듯,3
18063,"그래도 꿋꿋하게 앉아서 시켜먹노 ㅋㅋ

난 저딴말 하면 바로 수고하세요 하고 나온다",1
18064,정준이 순진해서 골수 좌파된거여,1
18065,민주화 10ㅋㅋㅋㅋ 며칠 큰일 본다고 이제 일베하고 있는데 좆족들 다 사라졌냐? 무적권 ㅇㅂ ㅋㅋㅋㅋㅋ,1
18066,"내말이

박원순이라는 서울시장이 직접 서울시에서 허가한 신천지를 폐업시킨다고 했는데 정작 서울시 신천지 교인들은 멀쩡함",1
18067,대단하다 재용쿤,0
18068,@항상화난사람 아그건아니지 ㅋㅋ ㅇㅇ 근데 그새끼들때문에 확산 줜나쩌는건 맞고 초기대응 좆같이함 정부탓인것도 맞음 ㅇㅇ,1
18069,"탄핵청원은 4일만에 10만 찍었는데

현재 탄핵반대청원은 4일째인데 7만 9천명임 ㅋㅋㅋㅋ",1
18070,좆족의 조국은 중국인것처럼 홍어의 조국은 북한이다.농담 아니고 ㅍㅌ다.,2
18071,짱깨쉬키 통신 장비에다 백도어를 얼마난 쳐달아 넣었길래 저러냐?,2
18072,@란도쓰러진욕실 정준영 전라도냐.?,0
18073,"우리학교 이야기를 왜 니들이 하냐

거기다 문돌이들이 이상한건 하루이틀이 아닌데

그리고 여자 연구교수가 연구한걸 신뢰함?",3
18074,"그래도 투표때 되면

""에이 틀딱당, 친일당 찍기엔 아직 무리지""

이러며 더불당찍음

그래놓고 하는짓거리보고 불만 ----무현반복",1
18075,밑장빼기하려고 간보나보네,1
18076,"@하워드휴즈 뭐가 추하냐

현남친은 이 여자가 어떤 여자인지 정확하게 알았는데

덕분에 손절 계기도 되는데",3
18077,@어맛! ㅇㅂ,3
18078,뭔데ㅋㅋㅋㅋㅋ,0
18079,차이나머니 받아처먹은 정치인들 다 조져야함,1
18080,@신도림트윈스 ㅋㅋㅋㅋㅋㅋ 풋,0
18081,"@자폐새끼다뒤져라 틀딱들이 트럼프랑 미국 빨면서

태극기 성조기 같이 흔드는데

미국은 언제 망하고 트럼프도 언제 망하냐?",2
18082,걱정되면 정치후원금이라도 10만원 내고 걱정해라 ㅋㅋ 입으로만 걱정하노,1
18083,문재앙 끌어내려라 ㅋㅋㅋㅋㅋㅋ,0
18084,아!내가 천베다,3
18085,"리스펙 김석준 교육감, 反전두환에서 간첩까지
https://m.blog.naver.com/120christian/221727035475",2
18086,일베가 미치도록 싫겠다..,0
18087,"주소 전화번호 올렸네

좌좀들 전화공세로 업무 방해 받으면 저거 공개한 놈도 같이 영업방해로 고소",1
18088,저 분 딱봐도 고집 존나 쎄게 생겼잖음 ㅋㅋ,3
18089,"저새끼 호주랑 미국에 신고 넣어라 중국인 간첩에 공산주의 사상에 찌든새끼라고
난 영어가 안돼서 노신고...",2
18090,@여긴달라스 응 아니야~,0
18091,전라도 과학,0
18092,이란여자랑 떡쳐봄?,3
18093,@마카데미아넛 ㄹㅇ 국정원장이면 미국으로 쳤을때 CIA국장인데 어이가 없어서 기도안찰듯ㅋㅋㅋㅋㅋㅋ,2
18094,@시진핑핑이 쫑꾸가 뭐냐 시발,3
18095,이마에다 뭐 집어넣었노,1
18096,전라도는 히틀러식으로 비누로제작해도 무죄,0
18097,"이놈아

엄마도 사람이야",3
18098,간첩 출입금지라는 말 불편하다고 문슬람들이 와서 테러하는거 아니냐?ㅜㅜ,2
18099,다리가 씨발 보지모양이네 오다리샜끼 ㅋㅋㅋㅋㅋ,3
18100,재앙아 널 어떻게 믿노 ㅋㅋ,0
18101,착박죽박,0
18102,저건 상관없는거 아니냐 ㅋㅋ 나대한인가 그 발레리’노’가 자가격리자인데 집에 안있고 일본가서 인증샷 찍어서 그런거 아니노 ㅋㅋ,1
18103,"@레반도프스키 무식이 티좀 내지마라 걍 팬아트 입장에서 그린게 끝임. 과대 포장하지말자- -;;;
당시에는 모든걸 중국껀줄 알았던 시대라 구분도 못해음. 알고나 떠들어라. 그 유명인 명언있는데. 중국어쩌고 저쩌고 정확한 말 까먹었넴.

유럽에서도 그냥 지나가는 미술역사 중 하나로 이야기함.
일본에서는 이걸가지고 일본 미술 영향력을 축소할려고 한다라는 개소리를 하던데. 이게 팩트임.
애초에 우키요에 자체가 중국 유럽에 엄청나게 영향 받은 미술인데.


https://www.ilbe.com/view/11196102869
일본 우키요에는 중국화 유럽에 강한 영향을 받음.JPG",2
18104,@익명d1bed9 우리 ㅁㅈㅎ,0
18105,@김치발효균 지럴하네,3
18106,설라도 전라도 새끼들만 본다는 그 영화 ㅋ,0
18107,돌아다니면서 기침 존나하니까 사람들 존나 봄ㅋㅋㅋ,2
18108,언론사들하고 미래당에 제보해야된다 ;;;,1
18109,@익명3171bf 니말이 맞는데 그렇게 하루에 450만장하면 매일 9억이지 2018년 지오영 여멉이익이 280억정도인데 한달만해도 1년 영업이익이 나는거지 제조사도 아니고 유통만하는데 장당 200원은 너무 많다는거다,1
18110,@일베불고렙 개,0
18111,일본 첫번째 갖다놓은거보소 ㅋㅋㅋ,2
18112,"하여튼 일본도 예쁜 여자는 다 도쿄에 있네 ㅇㅇ

어느나라나 남자든 여자든 우수하고 복있는 건 다 수도로 몰리게 되어있음",3
18113,"@Hanel 초기엔 줬겠지
근데 이젠 확진자가 삼천두 넘는데 어케 다주겠냐
굶어디지던가 병걸려디지던가
이젠 짐덩어리로 여기겠지",1
18114,"@익명4f7ea1 왜 뽑아요???

잘 생 겨 서
훈 훈 해 서
멋 있 어 서


애미씨발 보지찢어죽일 피싸개년들",3
18115,차단 사유: 댓글 도배로 자동 차단 처리되었음,1
18116,@병신이되는중 미국 국교가 기독교잖아,2
18117,저렇게 서민등골빨아서 과태료 벌금 모아 북한줄려고 작당하는듯!,2
18118,"@익명a2b67c 맞지 ㅠㅠ 이정희 유시민 나도 정말 싫다
근데 법적 증거로 채택될 만한게 필요하고 그게 있었더라도
판결하는 판사들의 성향도 적잖이 들어갔다고 본다.",1
18119,@비가비가그쳐요 개닝기미 좃이나빠세요,0
18120,"@노무현응디탁 아~ 똑같은 펌글인데

많이 올리는건 안되고

적게 올리는건 되고?

그건 누가 정하는 기준인데?

하여간 씨발 지능 낮은 새끼들 ㅋㅋㅋㅋㅋ",1
18121,이거 재판 관람할수 있는거냐?,1
18122,@마요찡 예를들자면?,0
18123,@익명595f17 짤줍베,0
18124,"저분이 미국 일본 독일같은 나라에서 태어났으면
저꼴 났을까싶네",2
18125,땜시롱 ㅁㅈㅎ,0
18126,ㅆㅂ 얼굴 모자이크 좀...,3
18127,윰지오가 보인다,0
18128,"아무것도 안하고 권리만 쳐주장하는 한녀충들보다는 훨씬 나은거아닌가?

설마 남자안뽑는 여초회사라니까 심술나서 이딴글써재끼는거냐?

지금까지 붕괴된 건축물중에 남자가 만든건 없는줄 아나보네ㅉㅉ

이딴글이 인기글이나 가고 메갈새끼나 일베새끼나 수준 똑같네",3
18129,"ㅋㅋㅋㅋㅋㅋㅋㅋ가족중에 조선족ㅋㅋㅋㅋㅋㅋ
있을수있짘ㅋㅋㅋ 조선족 국제결혼",1
18130,@익명_3c3263 번식력도 슈퍼울트라하이브리드킹왕짱,3
18131,다졸이 무그라,0
18132,ㅆㅂ,0
18133,문재앙: 이게 나라다(북한)ㅋㅋㅋㅋ,2
18134,"@익명ee65d3 ㄹㅇ
문재앙이 짱깨한테 퍼준거 되찾고 짱깨폐렴 보상도 받고 ㅋㅋㅋ",2
18135,동태탕 우회주소 www.더불어민주당.com 도 애용해달라 이기야,1
18136,햐~~ 우리나라만 이런 게 아니구나.,0
18137,폐기물봉투에 들어가면될듯,1
18138,@올에이쁠 그러고 보니까 또 그럼 ㅋㅋ,0
18139,@스시녀와결혼7년 2년인데요,3
18140,여자가 차에 치였다구욧!,3
18141,"이지성 어제 실시간방송에서
박근혜대통령에 대한 자기생각 밝힘
지금 그 영상은 회원들만 볼 수 있는걸로 돌림

결론은 박근혜 대통령은 무죄라고 말했음
원래 박근혜 별로 안좋아했었다고 말함
하지만 자기는 거짓말 안하고 사실만 말한다고 함
자기가 탄핵시기에 베트남에서 봉사하고 있어서 사정을 잘몰랐는데
박근혜를 잘알고 가까운 정치인, 종교인 좆쓰레기들이
박근혜 가짜뉴스를 다 진짜라고 이지성한테 말해줬다고 했음
그래서 믿었고 촛불집회도 1번 나갔는데
좀 뭔가 이상하다는 생각이 들었다고 함

도태우변호사랑도 친하더라",1
18142,"6.25라는걸 겪고서도 좌파가 이렇게 판을 친다는게 정말 좇같은거지
이승만이라는 반도 역사상 원탑의 위인이 미국 입장에서는 말도
안되는 불평등 조약인 한미동맹을 체결 하고 그후 박정희가 산업화를 성공시켜 지금의 번영을 이룬건데 좌파들은 이걸 부정 하고 있으니...
난 좌파들이 원하는 세상이 뭔지를 모르겠음",1
18143,재새끼 돈 좀 너받고 인고안한 ㄱㄱ,0
18144,그래도 39면 대단한거네ㅋㅋ,0
18145,"@한슨상제갈량 이태리가 뭘 중국인을?
웃기네
직항 노선만 없앴다
직항,
경유도 되고 기차타고 와고 되고
중국인입국 막은 적 없어.",1
18146,저게 25세라는게 더 놀랍다,3
18147,기센여자네 침대에선 어떨까,3
18148,"트레이너하고 바람 날꺼깥지?? 영화나 어디서 주워들은 썰들어보면 다 그럴꺼같지?? 한 10군데정도에 1군데정돈 그럴수있겠다

바람나면?? 그다음은?? 그다음이 없잖아?? 유부녀들이 바보인줄아냐?? 다 머릿속으로 계산다하고 있다 돌싱이거나 이혼했거나 그런 여자들이 대다수지 진짜 애있는 유부녀들은 차라리 유부남하고 바람이 나지 잃을게 없는 트레이너랑 바람나서 뭔 부귀영화를 누린다고",3
18149,퓨마가 본능 나오면 다죽는거야 맹수잖아,3
18150,"몇 일전 KBS뉴스에서 신종코로나로 부르자깽 하더니 대한민국 방송사와 언론 전체가 일제히 신종 코로나라고 씨부리는게 존나게 역겹네.

아따 여기가 중국이랑 북한이랑깽",2
18151,마! 이게 나라다,0
18152,민주화 누른 짱개새키들 부들부들 ㅋㅋㅋ,1
18153,"김정은이 짱깨 말을 안들으니까, 대신 짱깨에 사대하는 김한솔이를 내세우는 거잖아.
김한솔이 북한 정권 잡으면 한국은 더 좆된다.",2
18154,"석양의 건맨 ㅇㅂ 총이랑 계집 다룰 줄 아는 남자
모자 주우려는거 총으로 쏘면서 농락하던 장면은
이스트우드 명장면 같음. 미국 마초를 100% 추출한
영화였지",3
18155,PPAP 침투력ㅋㅋㅋㅋㅋㅋㅋㅋ,2
18156,앞으로 중국에 이어 인도도 석유 존나 쓸텐데 ㅉㅉㅉ 석유값 폭등을 대비해서 전기차 쪽 존나 투자하고 인프라 존나 깔아야 하는데 역시나 문죄인은 생각이 없는건가 ? 인도는 같은 나라는 자우너 자체가 없다보니 나중에 석유 존나 쓸꺼임 지금도 석유 사용량 탑10안에 들어감,2
18157,진짜 지켜줘야된다 얘는,0
18158,@익명8ad047 국물 준비됬읍니다,1
18159,"1. 일본에 핵 2방 떨어뜨린 이유는, 일본이 하와이 선빵 놨기 때문
2. 굳이 한반도에 와서 중공군,북한군과 싸운 이유는, 공산주의 확산 저지라는 명목이 더 컸음
3. 미군정으로 온갖 기반이고 뭐고 지원해준건, 사실 박정희의 외교덕분이지, 미국이 자발적으로 도와준게 아님

미국을 신용하는건 좋지만, 맹신하는건 잘못된짓이야.",1
18160,좆뉴비새꺄 노짤이 뭐냐 ㅅㅂ,1
18161,"저러다 미국 감리교 스코트랜드 장로교 선각자들 덕분에

한민족이 문맹탈출 세뇌탈출 한거다.

감사한줄 알아라.",2
18162,Kia~ 피싸개 때려잡는 킹익 ㅇㅈ합니다,3
18163,많은 거 안바랍니다 중국인들 절반만 제발 반만 줄여주세요 싼샤댐님 ㅠㅠ 이제 아슬 아슬한 줄타기로 그만큼 버티셨으면 충분하잖아요. 쉬셔야죠 가는김에 청소 좀 하시고 절반만 부탁드릴게요 잊지않겠습니다.,2
18164,묵직하다;;,0
18165,"원자력 발전소 폐쇄하려는 목적

1. 남조선 산업 발전 방해
2. 러시아 천연가스 및 북한 석탄에 대한 의존도를 높여 공산화를 용이 하게 하는 것



시발",2
18166,막짤피식 그래도 ㅇㅂ,0
18167,미국은 전세계 어느나라보다 합리적인 나라,2
18168,@킬재앙 문재앙은 애초 개새끼라 개새끼라 욕먹는거고...,1
18169,66666666666,0
18170,사실 북한과의 외교도 잘함. 최초의 이산가족상봉 이끌어낸것도 전두환 전 대통령임. 남북적십자회담을 잘 했지,2
18171,@익명53a4e1 전북은 그나마 낫더라,0
18172,미국과 동맹이라 다행이다. 근데 문재앙땜에 동맹관계가 위태로운 것 같다.,2
18173,끔찍하다,0
18174,근데 이건 남자가 바로 다른 병원에서 항상제 받아먹고 치료하고 온걸수도 있어서,3
18175,존버새낔ㅋㅋㅋㅋㅋ,0
18176,@대중김 여덩새끼들 진짜 짱깨한테 엥간히 받아쳐뭇는갑다,2
18177,민주당 당사로 침투해서 애국한번해라 청와대도,1
18178,갓팬스,0
18179,@여고생핑보에묻은애액 사상이 깨어 있는 사람같다 차유람도 저 남자도 역시 부부가 둘다 결혼을 잘했노,3
18180,오줌 참으면 병 생겨.,3
18181,"북한 중국 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

역시 더불어민좆당 클라스",2
18182,미국 군인은 존나 진짜 '군인'이라는 느낌이 드는데 우리나라는... 시발; 혜택 주는게 이상함,2
18183,알고있음 ㅁㅈㅎ,0
18184,@섹스에미친사내 미친세끼들인가,3
18185,지도 좀 아는척해보고 싶었나보지 사시패스는 못해서 그쪽 얘기는 잘모르겠고 ㅋㅋ,3
18186,프레온 가스. 이거 영어죠? 미국이 잘못한거에요,2
18187,닭발 한번 안잡아 줬다고 두고두고 까이누 ㅋㅋㅋㅋ,1
18188,"루리웹 보다는

만갤이 직격타지",2
18189,"애완용으로

소 키울수 잇냐?",0
18190,"ㅋㅋ
리나 배 특 : 여성스러움",3
18191,빨리 줄줄이 깜방 가는 거 보고싶다 ㅇㅂ,1
18192,배운분이 맞다 하는건 맞는거야,0
18193,시발 중국새끼들은 알리익스프레스 빼고 다 개씹새끼들이야 싸랑해요 알리익스프레스,2
18194,생각이 올바르다 ㅇㅂ,0
18195,잘생긴애,0
18196,시원하다! ㅆㅂ ㅇㅂ,0
18197,존나웃긴데 시발 ㅋㅋㅋ,0
18198,@익명1e2c5e 비꼬는거지?,0
18199,"@익명7a6925 유시민은 이미 탈당한 상태였고
이정희는 이석기 변호인이었다

녹춰록이니 둘 다 반란 모의에 참여한 물증은 없었나보지",3
18200,야 니 프로필에 뻔히 니 사진 되어있는데 구라아니냐??,1
18201,용석이 씨발년아 도도맘 보지 따뜻하냐? ㅎ 고소좀~,3
18202,@정액조절장애 공안에 이미 정보 다 넘어감,1
18203,아니씨발 짱께를 빨았으면 친하게라도 지내던가 저건 뭐 이도저도 아니고 괜히 미국이랑 사이만 나빠지고 뭔 개짓거리야?,2
18204,기래기 새끼들,0
18205,병신새끼야 손가락만 꺾고 말았냐? 기왕에 의절할거 화끈하게 베어너클복싱 3라운드는 뛰어주고 의절했어야지 ㅋㅋㅋㅋㅋ,1
18206,왜 팬3티안이 두툼하노 남자임,3
18207,역겹다.ㄹㅇ,0
18208,@나창나창나베 어휴 분탕을 치려면 랩좀 쌓고와라 애미뒤진 달창련아,0
18209,@태연보지튀김 가능 씹가능 이 야발ㄴ년아,3
18210,"그냥 여자이길 포기한년들이라 관심없음

숏컷에 보지달려있으면 뭐함 ㅋㅋ 생긴게 여자가 아닌데",3
18211,"ㄷㄷㄷㄷ
ㄷ
ㄷ
ㄷㄷㄷㄷ",0
18212,고삼빔,0
18213,"나도 예쁜여자를 팔다리묶고 산채로 가슴을 톱으로 슥슥잘라내며 고통에 몸부림치는년 아가리에 망치질을 가해 이빨다깨부시고 입으로 하게한다음, 거꾸로 뒤집어 가랑이부터 대가리까지 슥슥 톱질을해 고통에 경련을 일으키는걸 보며 즐기고싶다...",3
18214,혜리가 존나 아깝지 씨발,0
18215,일름보 행게이 ㅇㅂ,0
18216,방송으로만보던 여자가 내앞에서 엉덩이만 내밀고 있으면 1500이 아깝진않을듯 기분째지것노,3
18217,@사람새끼입니다 중국꺼는 쓰기싫어도 쓰게되잖음. 눈감고 잡으면 10의 9는 메이드인 차이나 써있는데. 똑같은 가격에 다른나라꺼 있으면 일게이 중에서 메이드인 차이나 고를새끼 누가있을까,2
18218,상남동 안마 ㅅㅌㅊ,3
18219,@으히히히우헤헤헤 필리핀,2
18220,자한당은 망햇다,1
18221,이딴글로 일베 여러 개 보내서 고렙되었노 ㅋㅋㅋ 양질의 글을 좀 많이 써줘라 이기야,3
18222,ㅁㅈㅎ ㅁㅈㅎ,0
18223,"현재 홍콩 견찰들 개꿀이네
합법강간 추행 여자사냥 ㄷㄷ",3
18224,"@여자발바닥 그게 저짝 스토리지요

지금까지 그게통해거든",3
18225,애미 씹가능 결혼도가능,3
18226,병이냐,0
18227,"지도 펌글 좆나 올리면서 뭐? 씹새끼야

양심 좀 챙기자",1
18228,핵미사일 발사 비밀번호 1q2w3e4r## 아녔냐?,2
18229,모자이크가 살렸다,3
18230,중도표 흡수해야하니깐,1
18231,@5년동안눈팅러 러시아에서 무모한내기 하다가 여럿갔지 ㅋㅋ,2
18232,이런애들은 웃긴게 남친있음 ㄷㄷ,3
18233,이건 심각한데. 이거 인스타그램 상대로 위자료 청구하면 받을 수 있을 듯.,1
18234,@익명a8f0e9 찐따,0
18235,"일부로정보줬겠지ㅋㅋ

미국이 만만해보이냐?

51구역오기만해도 경고1회후 즉각사살인데ㅋㅋ",2
18236,으 지겨워 ㅁㅈㅎ,0
18237,섹스,3
18238,@골벵이찜 우리나라가 친중 정치인 반중 정치인 대립하듯이 저기도 똑같음,1
18239,대단하다 부러운 놈,0
18240,"K5좋지 않나양
저 곧 k5살껀데..",0
